RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 10:00,11/1/2016 11:00,8396
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 10:00,11/1/2016 11:00,1170072
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 10:00,11/1/2016 11:00,180480
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 10:00,11/1/2016 11:00,25769803776
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 10:00,11/1/2016 11:00,3
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 10:00,11/1/2016 11:00,1834
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 10:00,11/1/2016 11:00,1170072
Unknown,CW:AlarmMonitorUsage,11/1/2016 10:00,11/1/2016 11:00,1
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 10:00,11/1/2016 11:00,180480
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 10:00,11/1/2016 11:00,912
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 10:00,11/1/2016 11:00,14968
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 11:00,11/1/2016 12:00,1169968
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 11:00,11/1/2016 12:00,25769803776
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 11:00,11/1/2016 12:00,28033
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 11:00,11/1/2016 12:00,3
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 11:00,11/1/2016 12:00,304
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 11:00,11/1/2016 12:00,3
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 11:00,11/1/2016 12:00,1169968
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 11:00,11/1/2016 12:00,11882
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 11:00,11/1/2016 12:00,0
Unknown,CW:AlarmMonitorUsage,11/1/2016 11:00,11/1/2016 12:00,1
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 11:00,11/1/2016 12:00,1842
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 11:00,11/1/2016 12:00,180480
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 11:00,11/1/2016 12:00,180480
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 11:00,11/1/2016 12:00,988
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 11:00,11/1/2016 12:00,14880
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 11:00,11/1/2016 12:00,1
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 12:00,11/1/2016 13:00,4902
RunInstances,USW2-C3DataTransfer-In-Bytes,11/1/2016 12:00,11/1/2016 13:00,260
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 12:00,11/1/2016 13:00,180964
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 12:00,11/1/2016 13:00,15510
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 12:00,11/1/2016 13:00,1169968
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 12:00,11/1/2016 13:00,0
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 12:00,11/1/2016 13:00,1
Unknown,CW:AlarmMonitorUsage,11/1/2016 12:00,11/1/2016 13:00,1
RunInstances,USW2-C3DataTransfer-Out-Bytes,11/1/2016 12:00,11/1/2016 13:00,148
LoadBalancing,USW2-DataProcessing-Bytes,11/1/2016 12:00,11/1/2016 13:00,238
LoadBalancing,USW2-DataTransfer-In-Bytes,11/1/2016 12:00,11/1/2016 13:00,880
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 12:00,11/1/2016 13:00,180480
LoadBalancing,USW2-TestDataProcessing-Bytes,11/1/2016 12:00,11/1/2016 13:00,238
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 12:00,11/1/2016 13:00,912
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 12:00,11/1/2016 13:00,25769803776
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 12:00,11/1/2016 13:00,3
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 12:00,11/1/2016 13:00,228
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 12:00,11/1/2016 13:00,1810
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 12:00,11/1/2016 13:00,13758
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 12:00,11/1/2016 13:00,1172461
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 12:00,11/1/2016 13:00,3
LoadBalancing,USW2-TestDataProcessing-Bytes,11/1/2016 13:00,11/1/2016 14:00,2567
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 13:00,11/1/2016 14:00,0
LoadBalancing-PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 13:00,11/1/2016 14:00,528
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 13:00,11/1/2016 14:00,2475
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 13:00,11/1/2016 14:00,1
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 13:00,11/1/2016 14:00,988
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 13:00,11/1/2016 14:00,17830
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 13:00,11/1/2016 14:00,304
Unknown,CW:AlarmMonitorUsage,11/1/2016 13:00,11/1/2016 14:00,1
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 13:00,11/1/2016 14:00,3
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 13:00,11/1/2016 14:00,1752
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 13:00,11/1/2016 14:00,1162773
LoadBalancing-PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 13:00,11/1/2016 14:00,80
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 13:00,11/1/2016 14:00,25769803776
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 13:00,11/1/2016 14:00,3
LoadBalancing,USW2-DataTransfer-In-Bytes,11/1/2016 13:00,11/1/2016 14:00,609
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 13:00,11/1/2016 14:00,1172521
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 13:00,11/1/2016 14:00,181228
